graphfile,question,optiona,optionb,optionc,optiond,correct,daset
dataset_1_area.png, Which year had the least medals across all countries?, 1984, 1992, 2004, 2012, 2004, 1
dataset_1_line.png, Which year had the least medals across all countries?, 1984, 1992, 2004, 2012, 2004, 1
dataset_2_area.png, How many medals were won in 2012?, 480, 330, 1100, 180, 480, 2
dataset_2_line.png, How many medals were won in 2012?, 480, 330, 1100, 180, 480, 2
dataset_3_area.png, How many medals did France win in 2020?, 50, 200, 100, 70, 100, 3
dataset_3_line.png, How many medals did France win in 2020?, 50, 200, 100, 70, 100, 3
dataset_4_area.png, How many years does the data cover?, 10, 20, 36, 4, 36, 4
dataset_4_line.png, How many years does the data cover?, 10, 20, 36, 4, 36, 4
dataset_5_area.png, In which year were the fewest medals won?, 2016, 2020, 2012, 2008, 2012, 5
dataset_5_line.png, In which year were the fewest medals won?, 2016, 2020, 2012, 2008, 2012, 5
dataset_6_area.png, Which country won the most medals in 2004?, France, USA, Germany, Canada, Canada, 6
dataset_6_line.png, Which country won the most medals in 2004?, France, USA, Germany, Canada, Canada, 6
dataset_7_area.png, In which year did the USA win the most medals?, 2016, 2004, 1994, 2020, 2004, 7
dataset_7_line.png, In which year did the USA win the most medals?, 2016, 2004, 1994, 2020, 2004, 7
dataset_8_area.png, In which year did Canada win 2 medals fewer than the UK?, 1988, 2020, 2004, 2016, Correct answer, 8
dataset_8_line.png, In which year did Canada win 2 medals fewer than the UK?, 1988, 2020, 2004, 2016, Correct answer, 8
dataset_9_area.png, In which year did Japan win the fewest medals?, 1988, 1984, 1996, 2020, 1996, 9
dataset_9_line.png, In which year did Japan win the fewest medals?, 1988, 1984, 1996, 2020, 1996, 9
dataset_10_area.png, In 2008, which two countries won the least medals?, Switzerland & Germany, Japan & UK, Canada & USA, France & Germany, Japan & UK, 10
dataset_10_line.png, In 2008, which two countries won the least medals?, Switzerland & Germany, Japan & UK, Canada & USA, France & Germany, Japan & UK, 10
